cluster,text,frequency
17,the,3
17,jones,3
17,news,3
17,service,3
17,dynegy,2
17,have,2
17,for,2
17,a,2
17,on,2
17,seems,1
17,options,1
17,dealthe,1
17,volatility,1
17,fell,1
18,is,2
18,original,2
18,message,2
18,from,2
18,november,2
18,abramo,2
18,efs,2
18,fyi,1
18,energy,1
18,docyah,1
18,yah,1
18,this,1
18,technological,1
18,innovation,1
18,so,1
18,impersonal,1
18,arnold,1
18,johnsent,1
18,wednesday,1
18,amto,1
19,you,6
19,is,6
19,to,6
19,a,6
19,this,6
19,the,5
19,arnold,4
19,of,4
19,john,3
19,for,3
19,from,3
19,your,3
19,been,3
19,and,3
19,we,3
19,will,3
19,email,3
19,message,3
19,com,3
19,may,3
20,original,9
20,message,9
20,from,9
20,arnold,9
20,allen,9
20,re,8
20,monday,7
20,october,7
20,johnsent,5
20,pmto,5
20,margaretsubject,5
20,the,4
20,game,4
20,margaretsent,4
20,amto,4
20,and,3
20,johnsubject,3
20,you,3
20,at,3
20,your,3
21,the,7
21,of,5
21,and,5
21,new,4
21,s,3
21,image,3
21,inaugural,2
21,issue,2
21,in,2
21,u,2
21,will,2
21,soccer,2
21,to,2
21,ussoccerfan,2
21,com,2
21,coverage,2
21,news,2
21,live,2
21,||center,1
21,circle||,1
22,image,20
22,and,13
22,the,8
22,for,7
22,you,6
22,is,5
22,a,4
22,auction,4
22,are,4
22,email,4
22,in,4
22,to,4
22,that,3
22,current,3
22,mailing,3
22,of,3
22,your,3
22,our,3
22,com||s,2
22,underway,2
23,the,11
23,a,7
23,to,6
23,and,6
23,at,6
23,enron,5
23,all,5
23,will,5
23,we,5
23,in,4
23,of,4
23,are,3
23,passes,3
23,you,3
23,from,3
23,employee,3
23,be,3
23,houston,3
23,security,3
23,employees,2
24,to,7
24,the,5
24,a,5
24,we,4
24,in,4
24,and,3
24,enron,3
24,today,2
24,of,2
24,jeff,2
24,financial,2
24,this,2
24,has,2
24,very,2
24,at,2
24,our,2
24,are,2
24,need,2
24,corp,2
24,savings,2
25,all,5
25,credit,5
25,the,5
25,of,3
25,no,3
25,will,3
25,be,3
25,for,3
25,opportunity,2
25,to,2
25,is,2
25,business,2
25,internet,2
25,and,2
25,cash,2
25,products,2
25,power,2
25,locations,2
25,we,1
25,provide,1
26,from,9
26,message,7
26,october,7
26,original,6
26,arnold,6
26,johnsent,6
26,amto,5
26,lavorato,4
26,johnsubject,4
26,the,3
26,you,3
26,re,3
26,if,2
26,have,2
26,monday,2
26,sunday,2
26,pmto,2
26,we,2
26,today,2
26,tuesday,2
27,as,5
27,a,5
27,from,4
27,to,4
27,the,4
27,we,4
27,original,3
27,message,3
27,amto,3
27,at,3
27,october,2
27,enron,2
27,you,2
27,much,2
27,work,2
27,on,2
27,black,2
27,your,2
27,for,2
27,please,2
28,a,7
28,i,5
28,to,4
28,ravi,4
28,thuraisingham,4
28,e,4
28,analyst,3
28,and,3
28,you,3
28,enron,3
28,s,3
28,with,2
28,industry,2
28,energy,2
28,the,2
28,just,2
28,cfadirector,2
28,storage,2
28,tradingenron,2
28,broadband,2
29,you,8
29,in,4
29,to,4
29,i,4
29,we,3
29,this,3
29,that,3
29,our,3
29,the,3
29,and,3
29,would,3
29,are,2
29,with,2
29,attached,2
29,is,2
29,a,2
29,term,2
29,sheet,2
29,will,2
29,be,2
30,you,14
30,the,13
30,to,13
30,please,11
30,i,7
30,me,6
30,if,6
30,for,5
30,your,5
30,are,5
30,with,5
30,have,5
30,on,5
30,will,5
30,we,5
30,candidates,5
30,in,4
30,as,4
30,be,4
30,a,4
31,the,9
31,to,6
31,you,6
31,i,5
31,a,5
31,day,5
31,on,5
31,there,4
31,of,4
31,for,4
31,is,3
31,in,3
31,lots,3
31,your,2
31,with,2
31,that,2
31,make,2
31,out,2
31,need,2
31,original,2
32,to,6
32,from,4
32,the,4
32,a,4
32,in,3
32,has,3
32,is,3
32,it,2
32,y,2
32,have,2
32,come,2
32,good,2
32,than,2
32,pretty,2
32,been,2
32,seen,2
32,but,2
32,out,2
32,blackberry,2
32,thanks,1
